GAME_DATE,MATCHUP,PTS,REB,AST,rolling_5_avg_pts
"Apr 03, 2025",LAL vs. GSW,33,5,9,33.0
"Apr 04, 2025",LAL vs. NOP,27,0,8,30.0
"Apr 06, 2025",LAL @ OKC,19,3,7,26.33
"Apr 08, 2025",LAL @ OKC,28,7,3,26.75
"Apr 09, 2025",LAL @ DAL,27,7,3,26.8
"Apr 11, 2025",LAL vs. HOU,14,4,8,23.0
"Dec 01, 2024",LAL @ UTA,27,5,14,23.0
"Dec 02, 2024",LAL @ MIN,10,8,4,21.2
"Dec 04, 2024",LAL @ MIA,29,5,8,21.4
"Dec 06, 2024",LAL @ ATL,39,10,11,23.8
"Dec 15, 2024",LAL vs. MEM,18,8,8,24.6
"Dec 19, 2024",LAL @ SAC,19,6,7,23.0
"Dec 21, 2024",LAL @ SAC,32,7,6,27.4
"Dec 23, 2024",LAL vs. DET,28,11,11,27.2
"Dec 25, 2024",LAL @ GSW,31,4,10,25.6
"Dec 31, 2024",LAL vs. CLE,23,4,7,26.6
"Feb 01, 2025",LAL @ NYK,33,11,12,29.4
"Feb 04, 2025",LAL @ LAC,26,8,9,28.2
"Feb 06, 2025",LAL vs. GSW,42,17,8,31.0
"Feb 10, 2025",LAL vs. UTA,24,7,8,29.6
"Feb 12, 2025",LAL @ UTA,18,6,7,28.6
"Feb 19, 2025",LAL vs. CHA,26,7,11,27.2
"Feb 20, 2025",LAL @ POR,40,8,4,30.0
"Feb 22, 2025",LAL @ DEN,25,9,5,26.6
"Feb 25, 2025",LAL vs. DAL,27,12,3,27.2
"Feb 27, 2025",LAL vs. MIN,33,17,6,30.2
"Feb 28, 2025",LAL vs. LAC,28,13,3,30.6
"Jan 02, 2025",LAL vs. POR,38,3,8,30.2
"Jan 03, 2025",LAL vs. ATL,30,3,8,31.2
"Jan 05, 2025",LAL @ HOU,21,13,9,30.0
"Jan 07, 2025",LAL @ DAL,18,10,8,27.0
"Jan 13, 2025",LAL vs. SAS,18,5,8,25.0
"Jan 15, 2025",LAL vs. MIA,22,5,9,21.8
"Jan 17, 2025",LAL vs. BKN,29,7,8,21.6
"Jan 19, 2025",LAL @ LAC,25,5,11,22.4
"Jan 21, 2025",LAL vs. WAS,21,10,13,23.0
"Jan 23, 2025",LAL vs. BOS,20,14,6,23.4
"Jan 25, 2025",LAL @ GSW,25,5,12,24.0
"Jan 27, 2025",LAL @ CHA,22,7,8,22.6
"Jan 28, 2025",LAL @ PHI,31,8,9,23.8
"Jan 30, 2025",LAL @ WAS,24,3,11,24.4
"Mar 02, 2025",LAL vs. LAC,17,5,9,23.8
"Mar 04, 2025",LAL vs. NOP,34,8,6,25.6
"Mar 06, 2025",LAL vs. NYK,31,12,8,27.4
"Mar 08, 2025",LAL @ BOS,22,14,9,25.6
"Mar 22, 2025",LAL vs. CHI,17,6,4,24.2
"Mar 24, 2025",LAL @ ORL,24,6,7,25.6
"Mar 26, 2025",LAL @ IND,13,13,7,21.4
"Mar 27, 2025",LAL @ CHI,17,5,12,18.6
"Mar 29, 2025",LAL @ MEM,25,6,8,19.2
"Mar 31, 2025",LAL vs. HOU,16,8,4,19.0
"Nov 01, 2024",LAL @ TOR,27,6,10,19.6
"Nov 04, 2024",LAL @ DET,20,8,11,21.0
"Nov 06, 2024",LAL @ MEM,39,7,6,25.4
"Nov 08, 2024",LAL vs. PHI,21,12,13,24.6
"Nov 10, 2024",LAL vs. TOR,19,10,16,25.2
"Nov 13, 2024",LAL vs. MEM,35,12,14,26.8
"Nov 15, 2024",LAL @ SAS,15,16,12,25.8
"Nov 16, 2024",LAL @ NOP,21,7,5,22.2
"Nov 19, 2024",LAL vs. UTA,26,2,12,23.2
"Nov 21, 2024",LAL vs. ORL,31,10,7,25.6
"Nov 23, 2024",LAL vs. DEN,18,6,7,22.2
"Nov 26, 2024",LAL @ PHX,18,8,10,22.8
"Nov 27, 2024",LAL @ SAS,16,10,11,21.8
"Nov 29, 2024",LAL vs. OKC,12,8,6,19.0
"Oct 22, 2024",LAL vs. MIN,16,5,4,16.0
"Oct 25, 2024",LAL vs. PHX,21,4,8,16.6
"Oct 26, 2024",LAL vs. SAC,32,14,10,19.4
"Oct 28, 2024",LAL @ PHX,11,5,8,18.4
"Oct 30, 2024",LAL @ CLE,26,6,3,21.2
